pressure temperature e- H2 H H+ H- H2- H2+ H3+ He H2O CH4 CO NH3 N2 PH3 H2S TiO VO Fe FeH CrH Na K Rb Cs CO2 HCN C2H2 C2H4 C2H6 SiO MgH OCS Li LiOH LiH LiCl LiF
0.00017783 460.8 4.5000000000000027e-38 0.8362 5.387853360812373e-21 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 0.16242 0.0008190529064742428 0.00046526 2.3545944347196305e-11 9.82028850086257e-07 6.799291860952774e-05 1.759140902083314e-22 2.5391000000000018e-05 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 7.1593168043677414e-12 3.0907833665127484e-19 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 8.71333893759953e-17 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38
0.00020347 462.3 4.5000000000000027e-38 0.8362 6.063480050881482e-21 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 0.16242 0.0008190531972564759 0.00046526000000000043 2.1539554840122928e-11 1.077350366156034e-06 6.79473795564543e-05 2.2863601211625274e-22 2.5391000000000018e-05 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 6.330378124922462e-12 3.2283459007392844e-19 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 7.910184900208374e-17 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38
0.00023282 464.4 4.5000000000000027e-38 0.8362 7.334373800699418e-21 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 0.16242000000000004 0.0008190531604261755 0.0004652599999999995 2.1134051288089777e-11 1.163099554620612e-06 6.791846498470059e-05 3.163866272674233e-22 2.5391000000000018e-05 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 5.924728120741662e-12 3.6149292679336784e-19 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 7.679319727896428e-17 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38
0.00026639 466.8 4.5000000000000027e-38 0.8362 9.178421737076458e-21 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 0.16242 0.0008190528199583559 0.00046526000000000043 2.143461516844042e-11 1.2461750096059973e-06 6.790297737505661e-05 4.508963397066377e-22 2.5391000000000018e-05 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 5.6962668929248315e-12 4.1830041036643564e-19 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 7.69552067294949e-17 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38
0.00030481 469.4 4.5000000000000027e-38 0.8362 1.1728945050420447e-20 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 0.16242 0.000819052251155077 0.0004652599999999995 2.21850881165773e-11 1.3289339704671373e-06 6.78855814849803e-05 6.543818587333298e-22 2.539100000000007e-05 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 5.567477352852867e-12 4.938686703290303e-19 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 7.863059000014577e-17 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38
0.00034877 472.3 4.5000000000000027e-38 0.8362 1.5475746975737122e-20 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 0.16242000000000004 0.0008190521513663116 0.00046526 2.368763731676386e-11 1.4062013757486744e-06 6.778883838285062e-05 9.76427273098153e-22 2.5391000000000018e-05 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 5.580794713467722e-12 6.009873489763029e-19 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 8.277326755113292e-17 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38 4.5000000000000027e-38
0.00039907 475.4 5.46708001469982e-38 0.8362 2.0814221107427542e-20 4.5000084135076883e-38 4.5000084135076883e-38 4.5000084135076883e-38 4.5000084135076883e-38 4.5000084135076883e-38 0.16242000000000004 0.0008190523302114988 0.00046526000000000043 2.577147613081896e-11 1.4817898515909343e-06 6.772392121980881e-05 1.4810516379344129e-21 2.5391497448608172e-05 4.5000000000000763e-38 4.5000000000000763e-38 5.534061972995742e-38 4.5000084135076883e-38 4.5000084135076883e-38 1.0192074719834248e-37 8.037482525056392e-38 8.297834608753342e-38 7.854153748421564e-38 5.680527126147426e-12 7.450297152915231e-19 6.663870802462599e-38 9.389019577378902e-38 1.111425771296004e-37 4.5000084135076883e-38 4.5000084135076883e-38 8.872323661323736e-17 6.143482965012373e-38 8.407210750774719e-38 5.816956677529992e-38 1.1239630146531964e-37 9.880661236889872e-38
0.00045662 478.7 2.617554547768245e-37 0.8362 2.851778669887465e-20 4.5000772890376373e-38 4.5000772890376373e-38 4.5000772890376373e-38 4.5000772890376373e-38 4.5000772890376373e-38 0.16242 0.0008190529496597786 0.00046526000000000043 2.8583026705340064e-11 1.5538173647311099e-06 6.764439548427968e-05 2.2791668297934842e-21 2.5395466360428973e-05 4.5000000000000027e-38 4.5000000000000027e-38 2.9470095813990165e-37 4.5000772890376373e-38 4.5000772890376373e-38 8.049011916210378e-35 8.93198996041991e-36 1.1970958260874669e-35 7.378022015470688e-36 5.87648850886458e-12 9.392880621492917e-19 1.590399209771992e-36 3.78723762696633e-35 1.8211763459773907e-34 4.5000772890376373e-38 4.5000772890376373e-38 9.692779139535832e-17 7.614555058173305e-37 1.3730119297286817e-35 4.658864098518989e-37 1.9899333747737608e-34 6.052604188208843e-35
0.00052247 482.2 1.2804507030550997e-36 0.8362 3.9760210309311395e-20 4.500149309818948e-38 4.500149309818948e-38 4.500149309818948e-38 4.500149309818948e-38 4.500149309818948e-38 0.16241999999999995 0.0008190532318612507 0.00046526 3.224558095280888e-11 1.6231780383630878e-06 6.758709325455144e-05 3.56058672668163e-21 2.539942858342731e-05 4.5000000000000027e-38 4.5000000000000027e-38 1.6309233367544927e-36 4.500149309818948e-38 4.500149309818948e-38 8.299471804959391e-32 1.1493452809723634e-33 2.0236733494102556e-33 8.27111967787936e-34 6.163956197278404e-12 1.2043968475247864e-18 4.0672020032464916e-35 1.934333942141122e-32 4.183715135842023e-31 4.500149309818948e-38 4.500149309818948e-38 1.0763392335531913e-16 1.0002663330255678e-35 2.7244411060740474e-33 3.950660785351999e-36 4.828461345387743e-31 4.7850674471924364e-32
0.00059781 486.0 6.644710100740083e-36 0.8362 5.699425383935517e-20 4.500226330566753e-38 4.500226330566753e-38 4.500226330566753e-38 4.500226330566753e-38 4.500226330566753e-38 0.16242000000000004 0.0008190531344053414 0.00046526 3.737635978275984e-11 1.6853027091940467e-06 6.755550792170075e-05 5.697196100038243e-21 2.5403473712934006e-05 4.5000000000000027e-38 4.5000000000000027e-38 9.777946207037645e-36 4.500226330566753e-38 4.500226330566753e-38 1.3325777871522414e-28 1.9318959649798904e-31 4.5541531995521e-31 1.2470193168434742e-31 6.609537589949898e-12 1.586331851391429e-18 1.2055188935049807e-33 1.4651999897749602e-29 1.6446032295377913e-27 4.500226330566753e-38 4.500226330566753e-38 1.2266896200999234e-16 1.4825169898044122e-34 7.5082414031366395e-31 3.7383929191793994e-35 1.9591728862688576e-27 5.783077445611211e-29
